"scenario","time","var","val"
"F.sq","Short Term","ssb",197570.08348765
"F.sq","Medium Term","ssb",216742.053857984
"F.sq","Long Term","ssb",52419.6784121948
"F.sq","Short Term","catch",85635.4756979027
"F.sq","Medium Term","catch",97385.1349518667
"F.sq","Long Term","catch",41512.464749209
"F.sq","Short Term","Fbar",1.48203511783388
"F.sq","Medium Term","Fbar",2.12418483184343
"F.sq","Long Term","Fbar",7.72648410802926
"F.sq","Short Term","risk",0.148
"F.sq","Medium Term","risk",0.444
"F.sq","Long Term","risk",0.728
"F.msy","Short Term","ssb",256443.157087215
"F.msy","Medium Term","ssb",484124.179806255
"F.msy","Long Term","ssb",389748.286483972
"F.msy","Short Term","catch",46482.4875909584
"F.msy","Medium Term","catch",92205.2819773916
"F.msy","Long Term","catch",98454.1124211219
"F.msy","Short Term","Fbar",0.587904402017213
"F.msy","Medium Term","Fbar",0.427414057181645
"F.msy","Long Term","Fbar",0.635768701531017
"F.msy","Short Term","risk",0
"F.msy","Medium Term","risk",0.02
"F.msy","Long Term","risk",0.18
"F.low","Short Term","ssb",289932.393106374
"F.low","Medium Term","ssb",595041.920536125
"F.low","Long Term","ssb",542453.313686929
"F.low","Short Term","catch",25213.3530685098
"F.low","Medium Term","catch",32819.9625092054
"F.low","Long Term","catch",43009.2016484785
"F.low","Short Term","Fbar",0.382443722252238
"F.low","Medium Term","Fbar",0.0848706235926975
"F.low","Long Term","Fbar",0.125495088591162
"F.low","Short Term","risk",0
"F.low","Medium Term","risk",0
"F.low","Long Term","risk",0.004
"F.sqEMERGENCY4","Short Term","ssb",201855.72527115
"F.sqEMERGENCY4","Medium Term","ssb",283495.647272462
"F.sqEMERGENCY4","Long Term","ssb",116661.50375329
"F.sqEMERGENCY4","Short Term","catch",81009.1155095949
"F.sqEMERGENCY4","Medium Term","catch",102461.249385973
"F.sqEMERGENCY4","Long Term","catch",66886.037847134
"F.sqEMERGENCY4","Short Term","Fbar",1.48216682810027
"F.sqEMERGENCY4","Medium Term","Fbar",1.72371249619342
"F.sqEMERGENCY4","Long Term","Fbar",6.02892702790017
"F.sqEMERGENCY4","Short Term","risk",0.08
"F.sqEMERGENCY4","Medium Term","risk",0.352
"F.sqEMERGENCY4","Long Term","risk",0.652
"F.sqEMERGENCY8","Short Term","ssb",204382.404193014
"F.sqEMERGENCY8","Medium Term","ssb",304202.361937958
"F.sqEMERGENCY8","Long Term","ssb",126838.128433639
"F.sqEMERGENCY8","Short Term","catch",79350.5566945793
"F.sqEMERGENCY8","Medium Term","catch",104025.652590408
"F.sqEMERGENCY8","Long Term","catch",68976.979180535
"F.sqEMERGENCY8","Short Term","Fbar",1.4097241321468
"F.sqEMERGENCY8","Medium Term","Fbar",1.60116120187619
"F.sqEMERGENCY8","Long Term","Fbar",5.19392004530866
"F.sqEMERGENCY8","Short Term","risk",0.072
"F.sqEMERGENCY8","Medium Term","risk",0.32
"F.sqEMERGENCY8","Long Term","risk",0.644
"Fmsy2020","Short Term","ssb",228947.92496275
"Fmsy2020","Medium Term","ssb",462194.514300438
"Fmsy2020","Long Term","ssb",391124.472784839
"Fmsy2020","Short Term","catch",57327.7720762841
"Fmsy2020","Medium Term","catch",78860.5186460674
"Fmsy2020","Long Term","catch",100106.778753964
"Fmsy2020","Short Term","Fbar",0.796998075881605
"Fmsy2020","Medium Term","Fbar",0.366757703344476
"Fmsy2020","Long Term","Fbar",0.642343292630687
"Fmsy2020","Short Term","risk",0.012
"Fmsy2020","Medium Term","risk",0.036
"Fmsy2020","Long Term","risk",0.18
"Fmsy2025","Short Term","ssb",213677.961260661
"Fmsy2025","Medium Term","ssb",399910.499150592
"Fmsy2025","Long Term","ssb",386511.963169103
"Fmsy2025","Short Term","catch",72221.1521914429
"Fmsy2025","Medium Term","catch",69721.3599539862
"Fmsy2025","Long Term","catch",96507.9018530673
"Fmsy2025","Short Term","Fbar",1.08057982363857
"Fmsy2025","Medium Term","Fbar",0.401132613142246
"Fmsy2025","Long Term","Fbar",0.634256765857335
"Fmsy2025","Short Term","risk",0.06
"Fmsy2025","Medium Term","risk",0.152
"Fmsy2025","Long Term","risk",0.244
"Fmsy2021","Short Term","ssb",222627.164376415
"Fmsy2021","Medium Term","ssb",450238.0697691
"Fmsy2021","Long Term","ssb",395220.875233663
"Fmsy2021","Short Term","catch",61447.7276136537
"Fmsy2021","Medium Term","catch",74367.7547627995
"Fmsy2021","Long Term","catch",100273.275673159
"Fmsy2021","Short Term","Fbar",0.888077347705245
"Fmsy2021","Medium Term","Fbar",0.358537540403801
"Fmsy2021","Long Term","Fbar",0.642643499579561
"Fmsy2021","Short Term","risk",0.032
"Fmsy2021","Medium Term","risk",0.052
"Fmsy2021","Long Term","risk",0.188
"Fmsy2023","Short Term","ssb",216832.863689843
"Fmsy2023","Medium Term","ssb",420930.153664556
"Fmsy2023","Long Term","ssb",395399.059777266
"Fmsy2023","Short Term","catch",69076.153462355
"Fmsy2023","Medium Term","catch",69435.9870567467
"Fmsy2023","Long Term","catch",100419.193923695
"Fmsy2023","Short Term","Fbar",1.01271826345633
"Fmsy2023","Medium Term","Fbar",0.363399840133892
"Fmsy2023","Long Term","Fbar",0.633273308199964
"Fmsy2023","Short Term","risk",0.044
"Fmsy2023","Medium Term","risk",0.088
"Fmsy2023","Long Term","risk",0.204
"C2014","Short Term","ssb",199371.814073488
"C2014","Medium Term","ssb",253265.049492824
"C2014","Long Term","ssb",271552.654848
"C2014","Short Term","catch",82538.66228
"C2014","Medium Term","catch",82538.66228
"C2014","Long Term","catch",82538.66228
"C2014","Short Term","Fbar",1.37822755613571
"C2014","Medium Term","Fbar",0.969927560414987
"C2014","Long Term","Fbar",1.24565044880317
"C2014","Short Term","risk",0.148
"C2014","Medium Term","risk",0.4
"C2014","Long Term","risk",0.504
"Chistmin","Short Term","ssb",273797.659993486
"Chistmin","Medium Term","ssb",593562.419279112
"Chistmin","Long Term","ssb",595260.83557306
"Chistmin","Short Term","catch",32888.09436
"Chistmin","Medium Term","catch",20475.45238
"Chistmin","Long Term","catch",20475.45238
"Chistmin","Short Term","Fbar",0.453417224187881
"Chistmin","Medium Term","Fbar",0.0531583534811875
"Chistmin","Long Term","Fbar",0.0486516142995517
"Chistmin","Short Term","risk",0
"Chistmin","Medium Term","risk",0
"Chistmin","Long Term","risk",0
"C5red","Short Term","ssb",206698.676554031
"C5red","Medium Term","ssb",382226.066600173
"C5red","Long Term","ssb",382252.996234882
"C5red","Short Term","catch",74687.2752039429
"C5red","Medium Term","catch",66400.9072593162
"C5red","Long Term","catch",92855.8570356495
"C5red","Short Term","Fbar",1.16681156783832
"C5red","Medium Term","Fbar",0.420550162172756
"C5red","Long Term","Fbar",0.667844094266347
"C5red","Short Term","risk",0.088
"C5red","Medium Term","risk",0.204
"C5red","Long Term","risk",0.308
"C10red","Short Term","ssb",213834.629647684
"C10red","Medium Term","ssb",432602.556589219
"C10red","Long Term","ssb",405326.717314883
"C10red","Short Term","catch",67600.8151805656
"C10red","Medium Term","catch",65201.3274821633
"C10red","Long Term","catch",100678.570260441
"C10red","Short Term","Fbar",1.01383964086729
"C10red","Medium Term","Fbar",0.333214072264734
"C10red","Long Term","Fbar",0.626094783156
"C10red","Short Term","risk",0.048
"C10red","Medium Term","risk",0.088
"C10red","Long Term","risk",0.2
"C20red","Short Term","ssb",227541.063852088
"C20red","Medium Term","ssb",487973.872544187
"C20red","Long Term","ssb",394395.382467891
"C20red","Short Term","catch",55492.3934240896
"C20red","Medium Term","catch",69022.2554197787
"C20red","Long Term","catch",101795.448425677
"C20red","Short Term","Fbar",0.8073000845648
"C20red","Medium Term","Fbar",0.26262926937314
"C20red","Long Term","Fbar",0.615903554694327
"C20red","Short Term","risk",0.016
"C20red","Medium Term","risk",0.016
"C20red","Long Term","risk",0.128
"C50red","Short Term","ssb",261227.286126461
"C50red","Medium Term","ssb",512201.786612925
"C50red","Long Term","ssb",380906.69681042
"C50red","Short Term","catch",31983.7316335
"C50red","Medium Term","catch",99132.7092695299
"C50red","Long Term","catch",97857.2111291991
"C50red","Short Term","Fbar",0.502237636860616
"C50red","Medium Term","Fbar",0.435912464188331
"C50red","Long Term","Fbar",0.610689651244469
"C50red","Short Term","risk",0.008
"C50red","Medium Term","risk",0
"C50red","Long Term","risk",0.128
"GFCM.HCR","Short Term","ssb",281798.22441389
"GFCM.HCR","Medium Term","ssb",477009.548012666
"GFCM.HCR","Long Term","ssb",389823.051518403
"GFCM.HCR","Short Term","catch",36253.1470071308
"GFCM.HCR","Medium Term","catch",107834.105285839
"GFCM.HCR","Long Term","catch",96948.2577991548
"GFCM.HCR","Short Term","Fbar",0.437453019071665
"GFCM.HCR","Medium Term","Fbar",0.507580952893463
"GFCM.HCR","Long Term","Fbar",0.613068209275402
"GFCM.HCR","Short Term","risk",0
"GFCM.HCR","Medium Term","risk",0.008
"GFCM.HCR","Long Term","risk",0.168
"GFCM.HCR.modif","Short Term","ssb",285215.774757004
"GFCM.HCR.modif","Medium Term","ssb",479092.527716924
"GFCM.HCR.modif","Long Term","ssb",388816.700694778
"GFCM.HCR.modif","Short Term","catch",31145.778176526
"GFCM.HCR.modif","Medium Term","catch",107799.608629958
"GFCM.HCR.modif","Long Term","catch",96831.5175113752
"GFCM.HCR.modif","Short Term","Fbar",0.418524681235271
"GFCM.HCR.modif","Medium Term","Fbar",0.501484717169616
"GFCM.HCR.modif","Long Term","Fbar",0.607416693347081
"GFCM.HCR.modif","Short Term","risk",0
"GFCM.HCR.modif","Medium Term","risk",0.004
"GFCM.HCR.modif","Long Term","risk",0.164
"Bpa.Fmsy2020","Short Term","ssb",285666.038920984
"Bpa.Fmsy2020","Medium Term","ssb",451340.853402901
"Bpa.Fmsy2020","Long Term","ssb",361929.723296328
"Bpa.Fmsy2020","Short Term","catch",30288.66518906
"Bpa.Fmsy2020","Medium Term","catch",116304.99760005
"Bpa.Fmsy2020","Long Term","catch",97003.5908468529
"Bpa.Fmsy2020","Short Term","Fbar",0.40055267835043
"Bpa.Fmsy2020","Medium Term","Fbar",0.633587234634495
"Bpa.Fmsy2020","Long Term","Fbar",0.626593959252434
"Bpa.Fmsy2020","Short Term","risk",0.004
"Bpa.Fmsy2020","Medium Term","risk",0.04
"Bpa.Fmsy2020","Long Term","risk",0.164
